Total items: 129
АЙРАН (500МЛ) | 6 | Летнее меню | Холодок
МОХИТО APPLE | 16 | Летнее меню | Мохито
МОХИТО BLUE LAGOON | 19 | Летнее меню | Мохито
МОХИТО CHERRY | 16 | Летнее меню | Мохито
МОХИТО CLASSIC | 16 | Летнее меню | Мохито
МОХИТО FRUITE | 19 | Летнее меню | Мохито
МОХИТО KIWI | 19 | Летнее меню | Мохито
МОХИТО LIME | 19 | Летнее меню | Мохито
МОХИТО PINEAPPLE | 19 | Летнее меню | Мохито
МОХИТО БАНАНОВЫЙ | 16 | Летнее меню | Мохито
ОКРОШКА (350МЛ) | 16 | Летнее меню | Холодок
СМУЗИ БАНАН + АБРИКОС | 23 | Летнее меню | Смузи
СМУЗИ БАНАН + ВИШНЯ | 21 | Летнее меню | Смузи
СМУЗИ БАНАН + ДЫНЯ | 21 | Летнее меню | Смузи
СМУЗИ БАНАН + КИВИ | 26 | Летнее меню | Смузи
СМУЗИ БАНАН + МАЛИНА | 26 | Летнее меню | Смузи
СМУЗИ БАНАН + ЯБЛОКО | 23 | Летнее меню | Смузи
АМЕРИКАНО | 15 | Меню | 
БИФШ СТЕКС | 25/35 | Меню | 
БОРЩ | 25 | Меню | 
ГНЁЗДА С ГОВЯДИНОЙ | 27 | Меню | 
ГРЕЧЕСКИЙ САЛАТ | 34 | Меню | 
ГРИБНОЙ СУП | 26 | Меню | 
ЖАРОВНЯ ТФС (БАРАНИНА/ГОВЯДИНА) | 50 | Меню | 
КАЗАН КАБОБ | 40 | Меню | 
КАПУЧИНO | 18 | Меню | 
КЕШЬЮ | 45 | Меню | 
КОРЕЙКА БАРАНИНА | 50 | Меню | 
КОТЛЕТ ПО-КИЕВСКИЙ | 28/38 | Меню | 
ЛАГМАН | 21 | Меню | 
ЛАТТЕ | 18 | Меню | 
НАПОЛЕОН | 10 | Меню | 
ПАСТА БОЛОНЕЗА | 31 | Меню | 
ПАСТА ПЕНЕ | 32 | Меню | 
ПАСТА СОБА | 23 | Меню | 
ПАСТА ФИТУЧИНИ | 35 | Меню | 
РАФАЭЛЛО | 12 | Меню | 
САЛАТ TFC | 35 | Меню | 
САЛАТ ЗЕЛЁНАЯ ЛУЖАЙКА | 15 | Меню | 
САЛАТ ТАЙСКИЙ | 34 | Меню | 
САЛАТ ЦЕЗАРЬ | 25 | Меню | 
СТЕЙК ИЗ ГОВЯДИНЫ | 28 | Меню | 
СТЕЙК ИЗ ФОРЕЛИ | 25 | Меню | 
СУП TFC | 28 | Меню | 
СУП МЕРДЖИМЕК | 15 | Меню | 
ТАБАКА | 58 | Меню | 
ТИРАМИСУ | 12 | Меню | 
ФИСТАШКИ | 45 | Меню | 
ФИСТАШКИ БАРАНИНА | 45 | Меню | 
ФРУКТОВАЯ НАРЕЗКА (Большая) | 75 | Меню | 
ФРУКТОВАЯ НАРЕЗКА (Средняя) | 50 | Меню | 
ХРУСТЯЩИЙ БАКЛАЖАН | 17 | Меню | 
ЧАЙ (Зелёный / черный) | 5 | Меню | 
ЧАЙ С лимон и имбирем | 15 | Меню | 
ЧАЙ С лимоном | 10 | Меню | 
